depth,0,1,2,3,4,5,6,7,8,9
0,0,100,120,100,80,0,0,0,0,0
20,40,120,160,160,140,140,160,140,120,160
40,60,140,200,200,200,190,200,180,160,190
60,80,160,220,230,240,220,240,210,200,220
80,100,180,250,260,255,250,270,230,220,240
100,120,200,270,280,270,260,280,240,240,260
120,140,210,280,300,280,270,280,260,260,290
140,150,230,290,310,290,280,285,280,280,320
160,160,240,300,320,300,290,290,290,290,340
180,180,250,310,330,325,300,300,300,300,360
200,190,260,320,340,330,310,310,310,310,370
220,210,270,325,350,340,330,320,320,320,390
240,220,280,330,360,360,340,340,330,340,400
260,230,290,340,370,380,360,350,350,360,410
280,250,300,360,380,400,380,370,360,380,420
300,260,320,370,390,410,400,400,420,420,440
320,270,330,380,400,430,450,470,460,460,470
340,290,340,400,420,440,495,540,560,520,490
360,300,350,420,430,460,510,600,600,580,520
380,320,360,440,440,470,590,640,620,620,600
400,330,380,450,460,480,590,660,640,680,-1
420,350,400,470,470,490,600,680,660,820,-1
440,370,420,490,480,500,600,700,680,-1,-1
460,380,460,510,500,510,600,703,700,-1,-1
480,410,480,540,520,515,600,706,710,-1,-1
500,430,530,560,530,520,600,709,720,-1,-1
520,460,550,570,540,530,600,712,730,-1,-1
540,520,560,580,560,540,600,715,740,-1,-1
560,600,570,600,580,550,600,718,742,-1,-1
580,660,580,620,590,560,600,721,744,-1,-1
600,680,590,630,600,570,600,724,746,-1,-1
620,690,600,650,620,580,600,727,748,-1,-1
640,700,610,660,625,585,600,730,750,-1,-1
660,720,620,680,630,590,600,733,752,-1,-1
680,730,630,700,640,600,600,736,754,-1,-1
700,740,640,720,650,610,600,739,756,-1,-1
720,740,640,720,650,610,861,820,856,-1,-1
